target,x,y,d1,d2
stoßen,Der Ivorer Roger Assalé stösst leihweise zu den Bernern,Der Ivorer Roger Assalé stieß leihweise zu den Bernern,Der Ivorer Roger Assalé wird leihweise zu den Bernern stoßen,Der Ivorer Roger Assalé würde leihweise zu den Bernern stoßen
handeln,Es handelt sich um Freeware,Es handelte sich um Freeware,Es wird sich um Freeware handeln,Es würde sich um Freeware handeln
schmecken,Dieser klassische Mexikanische Dip schmeckt nicht nur zu Tortilla-Chips,Dieser klassische Mexikanische Dip schmeckte nicht nur zu Tortilla-Chips,Dieser klassische Mexikanische Dip wird nicht nur zu Tortilla-Chips schmecken,Dieser klassische Mexikanische Dip würde nicht nur zu Tortilla-Chips schmecken
reichen,Die Berichte hier reichen mir vollkommen,Die Berichte hier reichten mir vollkommen,Die Berichte hier werden mir vollkommen reichen,Die Berichte hier würden mir vollkommen reichen
motivieren,Was motiviert uns zu sicherem Verhalten?,Was motivierte uns zu sicherem Verhalten?,Was wird uns zu sicherem Verhalten motivieren?,Was würde uns zu sicherem Verhalten motivieren?
empfehlen,Der Artikel empfiehlt Python und Ruby,Der Artikel empfahl Python und Ruby,Der Artikel wird Python und Ruby empfehlen,Der Artikel würde Python und Ruby empfehlen
enttäuschen,Diese Geschichte enttäuscht sicher niemanden weniger,Diese Geschichte enttäuschte sicher niemanden weniger,Diese Geschichte wird sicher niemanden weniger enttäuschen,Diese Geschichte würde sicher niemanden weniger enttäuschen
befassen,Diese Entscheidung befasst sich mit sog Deep-Links,Diese Entscheidung befasste sich mit sog Deep-Links,Diese Entscheidung wird sich mit sog Deep-Links befassen,Diese Entscheidung würde sich mit sog Deep-Links befassen
biegen,Die Vorrunde der Regionalliga biegt auf die Zielgerade ein,Die Vorrunde der Regionalliga bog auf die Zielgerade ein,Die Vorrunde der Regionalliga wird auf die Zielgerade einbiegen,Die Vorrunde der Regionalliga würde auf die Zielgerade einbiegen
speichern,Das Gerät speichert bis zu 100 Runden,Das Gerät speicherte bis zu 100 Runden,Das Gerät wird bis zu 100 Runden speichern,Das Gerät würde bis zu 100 Runden speichern
betrachten,Das Prinzip der Selbstorganisation betrachtet Lernen als selbstgesteuerten Wissenserwerb,Das Prinzip der Selbstorganisation betrachtete Lernen als selbstgesteuerten Wissenserwerb,Das Prinzip der Selbstorganisation wird Lernen als selbstgesteuerten Wissenserwerb betrachten,Das Prinzip der Selbstorganisation würde Lernen als selbstgesteuerten Wissenserwerb betrachten
verbieten,Das israelische Gesetz verbietet solche Benachteiligungen ausdrücklich,Das israelische Gesetz verbot solche Benachteiligungen ausdrücklich,Das israelische Gesetz wird solche Benachteiligungen ausdrücklich verbieten,Das israelische Gesetz würde solche Benachteiligungen ausdrücklich verbieten
versuchen,Ich versuche es trotzdem,Ich versuchte es trotzdem,Ich werde es trotzdem versuchen,Ich würde es trotzdem versuchen
versetzen,Die Atmung versetzt unseren Körper in Schwingung,Die Atmung versetzte unseren Körper in Schwingung,Die Atmung wird unseren Körper in Schwingung versetzen,Die Atmung würde unseren Körper in Schwingung versetzen
regeln,Diese Norm regelt unter anderem die Entflammbarkeit,Diese Norm regelte unter anderem die Entflammbarkeit,Diese Norm wird unter anderem die Entflammbarkeit regeln,Diese Norm würde unter anderem die Entflammbarkeit regeln
thematisieren,Ich thematisiere meine ständige Cholangitiden,Ich thematisierte meine ständige Cholangitiden,Ich werde meine ständige Cholangitiden thematisieren,Ich würde meine ständige Cholangitiden thematisieren
herausgeben,Das herausgibt,Das herausgab,Das wird herausgeben,Das würde herausgeben
fühlen,Ich fühle mich echt verarscht,Ich fühlte mich echt verarscht,Ich werde mich echt verarscht fühlen,Ich würde mich echt verarscht fühlen
verstoßen,Ihre Eltern verstoßen sie,Ihre Eltern verstießen sie,Ihre Eltern werden sie verstoßen,Ihre Eltern würden sie verstoßen
haben,Wir alle haben einen einzigartigen Zweck,Wir alle hatten einen einzigartigen Zweck,Wir alle werden einen einzigartigen Zweck haben,Wir alle würden einen einzigartigen Zweck haben
lesen,Sie lesen sich stilistisch nicht gleichförmig,Sie lasen sich stilistisch nicht gleichförmig,Sie werden sich stilistisch nicht gleichförmig lesen,Sie würden sich stilistisch nicht gleichförmig lesen
betreiben,Wir betreiben nun etwas Tourplanung,Wir betrieben nun etwas Tourplanung,Wir werden nun etwas Tourplanung betreiben,Wir würden nun etwas Tourplanung betreiben
verbrennen,Das Bioethanol verbrennt abgasfrei,Das Bioethanol verbrannte abgasfrei,Das Bioethanol wird abgasfrei verbrennen,Das Bioethanol würde abgasfrei verbrennen
überschreiten,Dieses Aufkommen überschreitet die derzeit installierte Anlagenkapazität,Dieses Aufkommen überschritt die derzeit installierte Anlagenkapazität,Dieses Aufkommen wird die derzeit installierte Anlagenkapazität überschreiten,Dieses Aufkommen würde die derzeit installierte Anlagenkapazität überschreiten
zitieren,Ich zitiere Herrn Riebe,Ich zitierte Herrn Riebe,Ich werde Herrn Riebe zitieren,Ich würde Herrn Riebe zitieren
gefallen,Das gefällt mir natürlich garnicht,Das gefiel mir natürlich garnicht,Das wird mir natürlich garnicht gefallen,Das würde mir natürlich garnicht gefallen
funktionieren,Das funktioniert nämlich ganz von alleine,Das funktionierte nämlich ganz von alleine,Das wird nämlich ganz von alleine funktionieren,Das würde nämlich ganz von alleine funktionieren
beschreiben,Der jeweils niedrigste Wert von allen beschreibt dann die gesamte Funktion,Der jeweils niedrigste Wert von allen beschrieb dann die gesamte Funktion,Der jeweils niedrigste Wert von allen wird dann die gesamte Funktion beschreiben,Der jeweils niedrigste Wert von allen würde dann die gesamte Funktion beschreiben
fungieren,Ein öffentlicher Teil fungiert als Kontaktstelle zum Internet,Ein öffentlicher Teil fungierte als Kontaktstelle zum Internet,Ein öffentlicher Teil wird als Kontaktstelle zum Internet fungieren,Ein öffentlicher Teil würde als Kontaktstelle zum Internet fungieren
öffnen,Eine hübsche Frau öffnet ihm die Tür,Eine hübsche Frau öffnete ihm die Tür,Eine hübsche Frau wird ihm die Tür öffnen,Eine hübsche Frau würde ihm die Tür öffnen
ärgern,Das ärgert mich maßlos,Das ärgerte mich maßlos,Das wird mich maßlos ärgern,Das würde mich maßlos ärgern
verschieben,Ich verschiebe nur die Mengen,Ich verschob nur die Mengen,Ich werde nur die Mengen verschieben,Ich würde nur die Mengen verschieben
verfolgen,Das GW-Forum verfolgt keine gewerblichen Ziele,Das GW-Forum verfolgte keine gewerblichen Ziele,Das GW-Forum wird keine gewerblichen Ziele verfolgen,Das GW-Forum würde keine gewerblichen Ziele verfolgen
wirken,Die positive Verstärkung wirkt Wunder in der Hundeerziehung,Die positive Verstärkung wirkte Wunder in der Hundeerziehung,Die positive Verstärkung wird Wunder in der Hundeerziehung wirken,Die positive Verstärkung würde Wunder in der Hundeerziehung wirken
einschränken,Was das Spiel natürlich inhaltlich einschränkt,Was das Spiel natürlich inhaltlich einschränkte,Was das Spiel natürlich inhaltlich einschränken wird,Was das Spiel natürlich inhaltlich einschränken würde
tippen,Eine ältliche Sekretärin tippt auf der Schreibmaschine,Eine ältliche Sekretärin tippte auf der Schreibmaschine,Eine ältliche Sekretärin wird auf der Schreibmaschine tippen,Eine ältliche Sekretärin würde auf der Schreibmaschine tippen
nützen,Das nützt ihnen allerdings wenig,Das nützte ihnen allerdings wenig,Das wird ihnen allerdings wenig nützen,Das würde ihnen allerdings wenig nützen
unterstreichen,Der Erfolg unterstreicht die zielführende Arbeit,Der Erfolg unterstrich die zielführende Arbeit,Der Erfolg wird die zielführende Arbeit unterstreichen,Der Erfolg würde die zielführende Arbeit unterstreichen
schieben,Du schiebst die Spiegel zusammen,Du schobst die Spiegel zusammen,Du wirst die Spiegel zusammenschieben,Du würdest die Spiegel zusammenschieben
ähneln,Der Name und die Blüte ähneln den Vergißmeinnicht,Der Name und die Blüte ähnelten den Vergißmeinnicht,Der Name und die Blüte werden den Vergißmeinnicht ähneln,Der Name und die Blüte würden den Vergißmeinnicht ähneln
spüren,Ich spüre den Saft in mir,Ich spürte den Saft in mir,Ich werde den Saft in mir spüren,Ich würde den Saft in mir spüren
legen,Wer legt sie fest?,Wer legte sie fest?,Wer wird sie festlegen?,Wer würde sie festlegen?
rücken,Der Tag ihrer Volljährigkeit und Krönung rückt immer näher,Der Tag ihrer Volljährigkeit und Krönung rückte immer näher,Der Tag ihrer Volljährigkeit und Krönung wird immer näher rücken,Der Tag ihrer Volljährigkeit und Krönung würde immer näher rücken
beten,Man betet so sein Tischgebet,Man betete so sein Tischgebet,Man wird so sein Tischgebet beten,Man würde so sein Tischgebet beten
erzeugen,Jede Kraft erzeugt zugleich eine Gegenkraft,Jede Kraft erzeugte zugleich eine Gegenkraft,Jede Kraft wird zugleich eine Gegenkraft erzeugen,Jede Kraft würde zugleich eine Gegenkraft erzeugen
gestalten,Wir gestalten Prozesse,Wir gestalteten Prozesse,Wir werden Prozesse gestalten,Wir würden Prozesse gestalten
tauschen,Die Männer tauschen Frauen gegen Vieh,Die Männer tauschten Frauen gegen Vieh,Die Männer werden Frauen gegen Vieh tauschen,Die Männer würden Frauen gegen Vieh tauschen
beachten,Wir beachten euer Abschneiden täglich,Wir beachteten euer Abschneiden täglich,Wir werden euer Abschneiden täglich beachten,Wir würden euer Abschneiden täglich beachten
gelangen,Eine sehr gepflegte toprenovierte Eigentumswohnung gelangt zum Verkauf,Eine sehr gepflegte toprenovierte Eigentumswohnung gelangte zum Verkauf,Eine sehr gepflegte toprenovierte Eigentumswohnung wird zum Verkauf gelangen,Eine sehr gepflegte toprenovierte Eigentumswohnung würde zum Verkauf gelangen
atmen,Was für Zeug atmet ihr? Duft?,Was für Zeug atmetet ihr? Duft?,Was für Zeug werdet ihr atmen? Duft?,Was für Zeug würdet ihr atmen? Duft?
lächeln,Er lächelt zufrieden,Er lächelte zufrieden,Er wird zufrieden lächeln,Er würde zufrieden lächeln
befördern,Die unkritische Berichterstattung aller großen Medien befördert eine solche Meinungsbildung,Die unkritische Berichterstattung aller großen Medien beförderte eine solche Meinungsbildung,Die unkritische Berichterstattung aller großen Medien wird eine solche Meinungsbildung befördern,Die unkritische Berichterstattung aller großen Medien würde eine solche Meinungsbildung befördern
entlasten,Sie entlasten deinen Kopf,Sie entlasteten deinen Kopf,Sie werden deinen Kopf entlasten,Sie würden deinen Kopf entlasten
entwerfen,Ich entwerfe schonmal eine Strategie,Ich entwarf schonmal eine Strategie,Ich werde schonmal eine Strategie entwerfen,Ich würde schonmal eine Strategie entwerfen
liefern,Das Angorakaninchen liefert eine besonders feinseidige Wolle,Das Angorakaninchen lieferte eine besonders feinseidige Wolle,Das Angorakaninchen wird eine besonders feinseidige Wolle liefern,Das Angorakaninchen würde eine besonders feinseidige Wolle liefern
beeinflussen,Welche Faktoren beeinflussen die Genauigkeit?,Welche Faktoren beeinflussten die Genauigkeit?,Welche Faktoren werden die Genauigkeit beeinflussen?,Welche Faktoren würden die Genauigkeit beeinflussen?
betonen,Der Briefkasten betont Ihren Eingangsbereich,Der Briefkasten betonte Ihren Eingangsbereich,Der Briefkasten wird Ihren Eingangsbereich betonen,Der Briefkasten würde Ihren Eingangsbereich betonen
verdrängen,Diese ihre jüngste Vergangenheit verdrängt die Union bis heute,Diese ihre jüngste Vergangenheit verdrängte die Union bis heute,Diese ihre jüngste Vergangenheit wird die Union bis heute verdrängen,Diese ihre jüngste Vergangenheit würde die Union bis heute verdrängen
widmen,Unser drittes Ziel widmet sich der Klostertradition,Unser drittes Ziel widmete sich der Klostertradition,Unser drittes Ziel wird sich der Klostertradition widmen,Unser drittes Ziel würde sich der Klostertradition widmen
gebrauchen,Er gebraucht es bereits ziemlich gut,Er gebrauchte es bereits ziemlich gut,Er wird es bereits ziemlich gut gebrauchen,Er würde es bereits ziemlich gut gebrauchen
fungieren,Er fungiert als Ratgeber von Donau,Er fungierte als Ratgeber von Donau,Er wird als Ratgeber von Donau fungieren,Er würde als Ratgeber von Donau fungieren
greifen,Du greifst zur Zigarette,Du griffst zur Zigarette,Du wirst zur Zigarette greifen,Du würdest zur Zigarette greifen
verschließen,Diese verschließen die Klappen,Diese verschlossen die Klappen,Diese werden die Klappen verschließen,Diese würden die Klappen verschließen
töten,Du tötest sie und zwar SOFORT,Du tötetest sie und zwar SOFORT,Du wirst sie töten und zwar SOFORT,Du würdest sie töten und zwar SOFORT
aktivieren,Eine Steinkamm Massage aktiviert also die innere Kraft,Eine Steinkamm Massage aktivierte also die innere Kraft,Eine Steinkamm Massage wird also die innere Kraft aktivieren,Eine Steinkamm Massage würde also die innere Kraft aktivieren
jagen,Ein Krisengipfel jagt den anderen,Ein Krisengipfel jagte den anderen,Ein Krisengipfel wird den anderen jagen,Ein Krisengipfel würde den anderen jagen
kaufen,Das nächste mal kaufe ich wieder billig,Das nächste mal kaufte ich wieder billig,Das nächste mal werde ich wieder billig kaufen,Das nächste mal würde ich wieder billig kaufen
belaufen,Der Jahresbeitrag beläuft sich auf 30 €,Der Jahresbeitrag belief sich auf 30 €,Der Jahresbeitrag wird sich auf 30 € belaufen,Der Jahresbeitrag würde sich auf 30 € belaufen
entziehen,Du entziehst Dich so jeder Verantwortung,Du entzogst Dich so jeder Verantwortung,Du wirst Dich so jeder Verantwortung entziehen,Du würdest Dich so jeder Verantwortung entziehen
wundern,Deine Probleme mit dem MAF wundern mich übrigens nicht,Deine Probleme mit dem MAF wunderten mich übrigens nicht,Deine Probleme mit dem MAF werden mich übrigens nicht wundern,Deine Probleme mit dem MAF würden mich übrigens nicht wundern
beinhalten,Das Schriftstück beinhaltet folgende Regeln,Das Schriftstück beinhaltete folgende Regeln,Das Schriftstück wird folgende Regeln beinhalten,Das Schriftstück würde folgende Regeln beinhalten
kosten,Dies kostet aber auch 1 Orb,Dies kostete aber auch 1 Orb,Dies wird aber auch 1 Orb kosten,Dies würde aber auch 1 Orb kosten
existieren,Sie existieren ohne Zweifel,Sie existierten ohne Zweifel,Sie werden ohne Zweifel existieren,Sie würden ohne Zweifel existieren
verarbeiten,Wir verarbeiten ihre Terminologie-Datenbanken,Wir verarbeiteten ihre Terminologie-Datenbanken,Wir werden ihre Terminologie-Datenbanken verarbeiten,Wir würden ihre Terminologie-Datenbanken verarbeiten
stören,Diese Materialien stören den Schmelzprozess erheblich,Diese Materialien störten den Schmelzprozess erheblich,Diese Materialien werden den Schmelzprozess erheblich stören,Diese Materialien würden den Schmelzprozess erheblich stören
siegen,Die Unsicherheit siegt doch jedes Mal,Die Unsicherheit siegte doch jedes Mal,Die Unsicherheit wird doch jedes Mal siegen,Die Unsicherheit würde doch jedes Mal siegen
